 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_mean ess_sd ess_bulk ess_tail r_hat
contam_scale 0.545 0.477 -0.307 1.414 0.011 0.009 1924.0 1470.0 1936.0 1480.0 1.0
bg_scale[0] 0.041 0.007 0.027 0.054 0.0 0.0 1913.0 1898.0 1910.0 1378.0 1.0
px[0] -0.15 0.063 -0.265 -0.034 0.002 0.001 1228.0 1228.0 1220.0 1220.0 1.0
px[1] -0.404 0.109 -0.599 -0.188 0.003 0.002 1333.0 1333.0 1328.0 1283.0 1.0
px[2] -0.072 0.099 -0.258 0.11 0.003 0.002 1171.0 1139.0 1175.0 1435.0 1.01
px[3] 0.349 0.421 -0.412 1.15 0.013 0.009 1002.0 1002.0 1001.0 1176.0 1.0
px[4] -0.145 0.609 -1.286 0.984 0.019 0.013 1024.0 1024.0 1024.0 1305.0 1.01
px[5] -0.791 0.585 -1.944 0.214 0.024 0.017 574.0 574.0 579.0 1044.0 1.02
px[6] -0.7 0.731 -2.137 0.606 0.022 0.015 1124.0 1124.0 1120.0 1304.0 1.0
px[7] 0.901 0.767 -0.549 2.345 0.02 0.015 1407.0 1328.0 1410.0 1434.0 1.0
px[8] -0.041 0.77 -1.566 1.286 0.022 0.015 1264.0 1264.0 1258.0 1283.0 1.0
px[9] -0.676 0.671 -1.877 0.63 0.018 0.014 1424.0 1191.0 1426.0 1172.0 1.0
px[10] 1.01 0.786 -0.586 2.345 0.019 0.017 1675.0 1102.0 1667.0 1277.0 1.0
px[11] 0.14 0.79 -1.34 1.591 0.025 0.017 1025.0 1025.0 1031.0 1227.0 1.0
sfr0[0,0] 0.036 0.028 0.0 0.087 0.001 0.0 2212.0 2212.0 1651.0 992.0 1.0
sfr0[0,1] 0.048 0.038 0.0 0.117 0.001 0.001 1546.0 1546.0 1024.0 832.0 1.0
sfr0[0,2] 0.084 0.061 0.0 0.19 0.002 0.001 1090.0 1090.0 803.0 617.0 1.0
sfr0[1,0] 0.02 0.014 0.0 0.045 0.0 0.0 1963.0 1963.0 1559.0 1136.0 1.0
sfr0[1,1] 0.03 0.021 0.0 0.067 0.001 0.0 1197.0 1197.0 898.0 754.0 1.0
sfr0[1,2] 0.061 0.035 0.005 0.126 0.001 0.001 891.0 891.0 756.0 927.0 1.0
sfr0[2,0] 0.012 0.009 0.0 0.028 0.0 0.0 2037.0 2037.0 1329.0 750.0 1.0
sfr0[2,1] 0.019 0.015 0.0 0.046 0.0 0.0 1412.0 1412.0 984.0 753.0 1.0
sfr0[2,2] 0.043 0.026 0.0 0.087 0.001 0.001 703.0 703.0 664.0 920.0 1.0
sfr0[3,0] 0.01 0.008 0.0 0.025 0.0 0.0 2737.0 2553.0 1614.0 717.0 1.0
sfr0[3,1] 0.017 0.014 0.0 0.042 0.0 0.0 1944.0 1944.0 1221.0 978.0 1.0
sfr0[3,2] 0.035 0.024 0.0 0.076 0.001 0.001 796.0 796.0 713.0 956.0 1.0
sfr0[4,0] 0.012 0.009 0.0 0.028 0.0 0.0 1858.0 1858.0 1369.0 924.0 1.0
sfr0[4,1] 0.019 0.015 0.0 0.045 0.0 0.0 1554.0 1554.0 1161.0 726.0 1.0
sfr0[4,2] 0.033 0.024 0.0 0.076 0.001 0.001 1111.0 1111.0 906.0 789.0 1.0
sfr0[5,0] 0.012 0.009 0.0 0.03 0.0 0.0 2061.0 2061.0 1618.0 1247.0 1.0
sfr0[5,1] 0.021 0.016 0.0 0.048 0.0 0.0 1510.0 1510.0 1177.0 871.0 1.0
sfr0[5,2] 0.031 0.022 0.0 0.072 0.001 0.0 1112.0 1112.0 979.0 863.0 1.0
sfr0[6,0] 0.01 0.009 0.0 0.026 0.0 0.0 1883.0 1883.0 1414.0 1099.0 1.0
sfr0[6,1] 0.02 0.015 0.0 0.047 0.0 0.0 1248.0 1248.0 974.0 900.0 1.01
sfr0[6,2] 0.028 0.021 0.0 0.066 0.001 0.0 1347.0 1347.0 1045.0 1014.0 1.0
sfr0[7,0] 0.01 0.008 0.0 0.025 0.0 0.0 2282.0 2276.0 1672.0 954.0 1.0
sfr0[7,1] 0.02 0.015 0.0 0.046 0.0 0.0 1608.0 1608.0 1176.0 986.0 1.0
sfr0[7,2] 0.027 0.02 0.0 0.062 0.001 0.0 1196.0 1196.0 793.0 688.0 1.0
sfr0[8,0] 0.01 0.008 0.0 0.025 0.0 0.0 2791.0 2467.0 2067.0 1234.0 1.0
sfr0[8,1] 0.021 0.016 0.0 0.048 0.0 0.0 1921.0 1921.0 1220.0 825.0 1.0
sfr0[8,2] 0.027 0.019 0.0 0.062 0.001 0.0 1213.0 1213.0 990.0 873.0 1.0
sfr0[9,0] 0.01 0.009 0.0 0.027 0.0 0.0 2660.0 2240.0 2148.0 1253.0 1.0
sfr0[9,1] 0.021 0.016 0.0 0.05 0.0 0.0 1720.0 1720.0 1380.0 1149.0 1.0
sfr0[9,2] 0.027 0.02 0.0 0.063 0.001 0.0 1146.0 1146.0 933.0 830.0 1.0
sfr0[10,0] 0.012 0.01 0.0 0.03 0.0 0.0 2227.0 2227.0 1713.0 1181.0 1.0
sfr0[10,1] 0.023 0.016 0.0 0.052 0.0 0.0 1727.0 1727.0 1522.0 1451.0 1.0
sfr0[10,2] 0.028 0.02 0.0 0.064 0.001 0.0 973.0 973.0 749.0 540.0 1.0
sfr0[11,0] 0.012 0.01 0.0 0.03 0.0 0.0 1663.0 1663.0 1334.0 999.0 1.0
sfr0[11,1] 0.024 0.018 0.0 0.056 0.0 0.0 1513.0 1513.0 1226.0 891.0 1.0
sfr0[11,2] 0.032 0.023 0.0 0.073 0.001 0.001 979.0 979.0 800.0 770.0 1.0
sfr0[12,0] 0.013 0.011 0.0 0.033 0.0 0.0 2438.0 2240.0 1875.0 1172.0 1.0
sfr0[12,1] 0.031 0.021 0.0 0.069 0.001 0.001 855.0 855.0 688.0 625.0 1.0
sfr0[12,2] 0.039 0.026 0.0 0.085 0.001 0.001 850.0 850.0 682.0 449.0 1.0
sfr0[13,0] 0.018 0.014 0.0 0.042 0.0 0.0 1743.0 1743.0 1290.0 804.0 1.0
sfr0[13,1] 0.049 0.029 0.001 0.097 0.001 0.001 695.0 695.0 638.0 679.0 1.0
sfr0[13,2] 0.056 0.031 0.002 0.109 0.001 0.001 597.0 597.0 505.0 501.0 1.0
sfr0[14,0] 0.044 0.023 0.002 0.082 0.001 0.0 1056.0 1056.0 989.0 931.0 1.0
sfr0[14,1] 0.082 0.037 0.015 0.145 0.001 0.001 618.0 618.0 594.0 692.0 1.0
sfr0[14,2] 0.082 0.034 0.022 0.147 0.001 0.001 582.0 582.0 559.0 581.0 1.01
sfr0[15,0] 0.093 0.028 0.043 0.149 0.001 0.001 723.0 723.0 733.0 857.0 1.0
sfr0[15,1] 0.121 0.039 0.049 0.191 0.002 0.001 648.0 648.0 639.0 742.0 1.0
sfr0[15,2] 0.11 0.036 0.047 0.179 0.001 0.001 626.0 626.0 634.0 608.0 1.01
sfr0[16,0] 0.144 0.028 0.093 0.197 0.001 0.001 824.0 811.0 828.0 928.0 1.0
sfr0[16,1] 0.155 0.035 0.094 0.223 0.001 0.001 1134.0 1134.0 1129.0 1199.0 1.0
sfr0[16,2] 0.129 0.035 0.066 0.194 0.001 0.001 643.0 643.0 639.0 631.0 1.01
sfr0[17,0] 0.18 0.025 0.131 0.226 0.001 0.0 1554.0 1554.0 1547.0 1340.0 1.0
sfr0[17,1] 0.178 0.037 0.115 0.252 0.001 0.001 1181.0 1181.0 1146.0 1374.0 1.0
sfr0[17,2] 0.136 0.037 0.068 0.208 0.002 0.001 587.0 587.0 582.0 848.0 1.01
sfr0[18,0] 0.202 0.037 0.127 0.271 0.002 0.001 594.0 594.0 595.0 561.0 1.0
